batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
671277,0.377,0.393,0.351,0.387,676,0.404,0.436,0.466,luis garcía,MLB
660821,0.373,0.392,0.338,0.344,742,0.396,0.458,0.448,jesús sánchez,MLB
680779,0.367,0.311,0.373,0.339,499,0.521,0.45,0.407,henry davis,MLB
673357,0.363,0.345,0.408,0.382,455,0.354,0.458,0.407,luis robert,MLB
682663,0.359,0.279,0.465,0.326,551,0.426,0.383,0.345,agustín ramírez,MLB
647304,0.354,0.342,0.356,0.398,802,0.489,0.397,0.4,josh naylor,MLB
572233,0.353,0.298,0.42,0.333,945,0.308,0.374,0.404,christian walker,MLB
691781,0.352,0.324,0.375,0.381,711,0.541,0.494,0.443,brady house,MLB
669065,0.343,0.315,0.371,0.376,536,0.267,0.314,0.395,kyle stowers,MLB
668723,0.343,0.319,0.399,0.296,420,0.436,0.36,0.346,ryan vilade,MLB
665750,0.339,0.28,0.395,0.416,676,0.38,0.372,0.387,leody taveras,MLB
669127,0.338,0.329,0.346,0.314,896,0.344,0.317,0.367,shea langeliers,MLB
663656,0.336,0.319,0.386,0.346,959,0.42,0.454,0.399,kyle tucker,MLB
693304,0.335,0.311,0.332,0.312,808,0.393,0.369,0.383,nick gonzales,MLB
668709,0.335,0.317,0.411,0.311,489,0.434,0.471,0.405,jj bleday,MLB
605137,0.334,0.335,0.353,0.375,930,0.394,0.338,0.354,josh bell,MLB
677942,0.33,0.33,0.349,0.343,531,0.268,0.319,0.346,blaze alexander,MLB
691023,0.33,0.314,0.367,0.353,877,0.412,0.45,0.421,jordan walker,MLB
660162,0.329,0.232,0.417,0.378,630,0.359,0.302,0.339,yoán moncada,MLB
666023,0.328,0.328,0.345,0.356,481,0.455,0.417,0.416,freddy fermin,MLB
671976,0.327,0.336,0.292,0.268,614,0.378,0.404,0.375,tristan peters,MLB
696100,0.326,0.311,0.349,0.325,877,0.361,0.387,0.424,hunter goodman,MLB
686668,0.325,0.296,0.364,0.336,510,0.448,0.371,0.364,brenton doyle,MLB
667670,0.325,0.271,0.412,0.319,636,0.31,0.386,0.42,brent rooker,MLB
608369,0.324,0.318,0.431,0.23,757,0.488,0.42,0.396,corey seager,MLB
682657,0.323,0.289,0.29,0.325,792,0.289,0.369,0.369,angel martínez,MLB
660670,0.323,0.272,0.441,0.305,823,0.381,0.422,0.391,ronald acuña,MLB
643217,0.323,0.331,0.319,0.302,724,0.267,0.319,0.321,andrew benintendi,MLB
666018,0.323,0.297,0.374,0.289,987,0.467,0.466,0.419,jonathan aranda,MLB
681546,0.323,0.321,0.355,0.333,353,0.288,0.276,0.322,james outman,MLB
695657,0.322,0.291,0.416,0.288,962,0.29,0.338,0.371,colson montgomery,MLB
672724,0.321,0.312,0.344,0.304,670,0.272,0.329,0.326,oswald peraza,MLB
608701,0.321,0.234,0.419,0.239,399,0.266,0.294,0.369,rob refsnyder,MLB
621020,0.32,0.284,0.391,0.345,922,0.35,0.32,0.32,dansby swanson,MLB
664034,0.319,0.344,0.292,0.303,430,0.327,0.312,0.382,ty france,MLB
669236,0.317,0.289,0.33,0.27,619,0.263,0.339,0.342,jeremiah jackson,MLB
687597,0.316,0.298,0.317,0.287,427,0.332,0.385,0.335,jordan beck,MLB
624424,0.316,0.25,0.449,0.324,421,0.465,0.377,0.361,michael conforto,MLB
691785,0.316,0.315,0.4,0.319,656,0.406,0.411,0.392,marcelo mayer,MLB
702222,0.315,0.299,0.314,0.34,726,0.28,0.336,0.352,justin crawford,MLB
575929,0.315,0.263,0.392,0.309,949,0.309,0.3,0.35,willson contreras,MLB
666139,0.314,0.298,0.305,0.317,630,0.391,0.364,0.298,josh lowe,MLB
669016,0.314,0.299,0.26,0.313,749,0.343,0.389,0.35,brandon marsh,MLB
694671,0.314,0.304,0.402,0.322,405,0.424,0.41,0.376,wyatt langford,MLB
595978,0.314,0.244,0.5,0.284,354,0.314,0.368,0.342,austin hedges,MLB
670242,0.313,0.277,0.382,0.323,617,0.428,0.374,0.344,matt wallner,MLB
678218,0.313,0.294,0.343,0.295,470,0.337,0.351,0.346,brandon valenzuela,MLB
646240,0.313,0.284,0.315,0.339,950,0.327,0.356,0.315,rafael devers,MLB
656716,0.311,0.258,0.307,0.342,527,0.27,0.336,0.376,zach mckinstry,MLB
608348,0.31,0.269,0.368,0.314,630,0.336,0.393,0.355,carson kelly,MLB
671289,0.309,0.242,0.343,0.288,492,0.305,0.328,0.346,tyler freeman,MLB
666971,0.308,0.216,0.347,0.378,380,0.331,0.321,0.338,lourdes gurriel,MLB
607208,0.307,0.258,0.35,0.332,1000,0.253,0.305,0.375,trea turner,MLB
663886,0.307,0.268,0.356,0.333,711,0.38,0.381,0.376,tyler stephenson,MLB
641584,0.306,0.314,0.384,0.355,431,0.35,0.307,0.315,jake fraley,MLB
669224,0.306,0.251,0.396,0.262,673,0.378,0.357,0.355,austin wells,MLB
657041,0.306,0.256,0.397,0.335,562,0.256,0.298,0.311,lane thomas,MLB
683737,0.306,0.275,0.406,0.328,1057,0.451,0.39,0.372,michael busch,MLB
695600,0.305,0.269,0.383,0.307,846,0.222,0.273,0.273,carter jensen,MLB
553993,0.304,0.246,0.416,0.311,533,0.507,0.42,0.389,eugenio suárez,MLB
682829,0.304,0.272,0.377,0.34,1070,0.311,0.32,0.317,elly de la cruz,MLB
547180,0.303,0.27,0.394,0.293,916,0.469,0.421,0.418,bryce harper,MLB
677649,0.303,0.271,0.345,0.338,679,0.381,0.327,0.347,ezequiel duran,MLB
694212,0.303,0.296,0.322,0.28,666,0.366,0.394,0.354,samuel basallo,MLB
